Nombre,Tipo,Fecha inicio,Fecha fin,GPS,Municipio,Precio,Provincia
Mabel Flores,Concierto,20221104,20221104,"43.256963,-2.923441",Bilbao,8 €,Bizkaia
"Cuentacuentos: El Cazasueños, Con Oscar Aguado",Actividad Infantil,20221104,20221104,"42.846718,-2.671635",Vitoria-Gasteiz,1€,Araba
Mashup Zine Tailerra,Formación,20221102,20221104,"43.3630981445,-1.40350341797",Cambo-les-Bains,15 €,Iparralde
Bilboloop 2022: L’Objectif + Keax,Concierto,20221104,20221104,"43.256963,-2.923441",Bilbao,12 / 15 €,Bizkaia
Exposición: Jo Eta So - Keinua Eta Begirada,Exposición,20221025,20221104,"43.3851522724,-1.30308151245",Hasparren,0,Iparralde
"Festival De Teatro Amateur De Alegria-Dulantzi 2022: Kiki, El Cabaret",Teatro,20221104,20221104,"42.841492,-2.513507",Alegría-Dulantzi,"1,5 / 3 €",Araba
Discípulos De Dionisos + Los Chicos + The Meanies,Concierto,20221104,20221104,"43.320725,-1.984449",Donostia-San Sebastián,15 / 18 €,Gipuzkoa
Xxiv Muestra De Teatro De Aquí: En Buena Compañía,Teatro,20221104,20221104,"42.817643,-1.648541",Pamplona/Iruña,"Entrada libre, previa inscripción",Navarra
Mentes Maravillosas,Proyección Audiovisual,20221104,20221104,"43.317233,-2.678958",Gernika-Lumo,"4,5 €",Bizkaia
Encuentros De Teatro Vasco De Azpeitia 2022: Herriye,Teatro,20221101,20221104,"43.183900834486366,-2.2654151916503906",Azpeitia,Entradas agotadas,Gipuzkoa
Karoi 2022: Lakoste,Teatro,20221104,20221104,"43.099441,-2.381747",Antzuola,5 €,Gipuzkoa
Act Festival 2022: /Séance/,Teatro,20221104,20221104,"43.256963,-2.923441",Bilbao,Gratis,Bizkaia
Act Festival 2022: Reverse Discourse,Danza,20221104,20221104,"43.256963,-2.923441",Bilbao,Gratis,Bizkaia
Act Festival 2022: Blue,Danza,20221104,20221104,"43.256963,-2.923441",Bilbao,Gratis,Bizkaia
Act Festival 2022: Muse,Danza,20221104,20221104,"43.256963,-2.923441",Bilbao,0,Bizkaia
Act Festival 2022: El Baile De La Zurda,Danza,20221104,20221104,"43.256963,-2.923441",Bilbao,0,Bizkaia
Act Festival 2022: I Wish Your Death,Teatro,20221104,20221104,"43.256963,-2.923441",Bilbao,0,Bizkaia
Exposición: Oporklik! Concurso De Fotografía Y Textos Ganadores De Verano,Exposición,20221021,20221104,"42.846718,-2.671635",Vitoria-Gasteiz,0,Araba
Le Caillou Dans La Chaussure,Otro,20221104,20221104,"43.3851522724,-1.30308151245",Hasparren,Gratis (inscripción),Iparralde
Secuestrados,Teatro,20221104,20221104,"43.420422,-2.722158",Bermeo,6 / 8 €,Bizkaia
Mariachi Los Cazahuates,Concierto,20221104,20221104,"42.817643,-1.648541",Pamplona/Iruña,10 €,Navarra
Manuel De La Tomasa + David De Arahal,Concierto,20221104,20221104,"43.320725,-1.984449",Donostia-San Sebastián,23 / 27 €,Gipuzkoa
Haziaraba In The Mapping 2022: Nomadak,Actividad Infantil,20221104,20221104,"42.977822,-2.642724",Legutio,0,Araba
Pasadena,Conferencia,20221104,20221104,"43.299282,-1.857874",Oiartzun,7 €,Gipuzkoa
Dena + Sofa + Muzak,Concierto,20221104,20221104,"43.118217,-2.413358",Bergara,6 €,Gipuzkoa
Anti-Clockwise + Kaos Kooperativ,Concierto,20221104,20221104,"43.338272,-1.789207",Irun,5 €,Gipuzkoa
Erre. Aldarri Bat Bertsoz,Teatro,20221104,20221104,"43.193923,-2.589165",Berriz,0,Bizkaia
Amaraun,Danza,20221104,20221104,"43.037964,-2.150894",Zaldibia,0,Gipuzkoa
Bertso Jaialdia: Maialen Akizu + Uxue Alberdi + Aitor Bizkarra + Andoni Egaña,Bertsolarismo,20221104,20221104,"43.295562,-2.353894",Deba,0,Gipuzkoa
"Unikoak: Y Después De La Uni, ¿Qué?",Conferencia,20221104,20221104,"43.256963,-2.923441",Bilbao,Gratis,Bizkaia
Goraki,Concierto,20221104,20221104,"43.3878675,-1.660283",Saint-Jean-de-Luz,0,Iparralde
Xvi Muestra Internacional De Títeres Para Aldultos: Andante,Teatro,20221104,20221104,"43.118217,-2.413358",Bergara,0,Gipuzkoa
"Xvi Muestra Internacional De Títeres Para Aldultos: Mierda De Ciudad, La Historia Del Rock Radical Vasco",Teatro,20221104,20221104,"43.118217,-2.413358",Bergara,0,Gipuzkoa
"Mila Musika Haria 2022: Dúo Dídyma Ida Y Vuelta, Por Favor",Concierto,20221104,20221104,"43.256963,-2.923441",Bilbao,5€,Bizkaia
Una Nueva Escalera. Cultura Y Sostenibilidad. Sesión On Line.,Formación,20221104,20221104,,,Gratis,Iparralde
Lágrimas De Sangre,Concierto,20221105,20221105,"42.846718,-2.671635",Vitoria-Gasteiz,15 €,Araba
Mcenroe + Galerna,Concierto,20221105,20221105,"43.256963,-2.923441",Bilbao,20 / 22 €,Bizkaia
Brothers In Band: Dire Straits On Every Street Tribute Show,Concierto,20221105,20221105,"43.320725,-1.984449",Donostia-San Sebastián,45 €,Gipuzkoa
Girando Por Navarra 2022: Estitxu,Concierto,20221105,20221105,"42.776759,-1.571493",Aranguren,5 €,Navarra
Sonata Arctica + Eleine,Concierto,20221105,20221105,"43.256963,-2.923441",Bilbao,25 / 30 €,Bizkaia
Halloween Metal Fest,Concierto,20221105,20221105,"43.420422,-2.722158",Bermeo,13€,Bizkaia
La Hora De Pablo Ibarburu,Teatro,20221105,20221105,"43.320725,-1.984449",Donostia-San Sebastián,18€,Gipuzkoa
Dorian,Concierto,20221105,20221105,"43.320725,-1.984449",Donostia-San Sebastián,25€,Gipuzkoa
Bailar Agora,Danza,20221105,20221105,"43.296826,-2.985259",Barakaldo,15€,Bizkaia
Celestina Infernal,Teatro,20221105,20221105,"43.220496,-2.733236",Amorebieta-Etxano,8 €,Bizkaia
José Luis Calero: Mi Gran Noche De Humor,Teatro,20221105,20221105,"43.256963,-2.923441",Bilbao,17€,Bizkaia
Daddy Long Legs + The Meanies,Concierto,20221105,20221105,"42.846718,-2.671635",Vitoria-Gasteiz,18 / 22 €,Araba
Oceanía,Teatro,20221105,20221105,"43.239656,-2.885518",Basauri,20 €,Bizkaia
Taller De Autodefensa Feminista,Formación,20221022,20221105,"43.20752,-2.887839",Arrigorriaga,Gratis,Bizkaia
Rebujitos,Concierto,20221105,20221105,"42.83427,-1.608337",Villava/Atarrabia,20€ / 25€,Navarra
Scapino Ballet Rotterdam: Casablanca,Danza,20221105,20221105,"42.817643,-1.648541",Pamplona/Iruña,17€/26€/36€,Navarra
Alos Quartet & Amaia Elizaran Lau,Concierto,20221105,20221105,"43.3593876,-1.7759398",Hendaye,4 / 6 / 12 €,Iparralde
Rollin'Black Dice,Concierto,20221105,20221105,"43.186642,-2.502607",Ermua,10€,Bizkaia
Fran Mariscal,Concierto,20221105,20221105,"43.256963,-2.923441",Bilbao,0,Bizkaia
Festival Internacional De Teatro De Vitoria-Gasteiz 2022: Faces,Teatro,20221105,20221105,"42.846718,-2.671635",Vitoria-Gasteiz,15 €,Araba
La Bohème,Concierto,20221105,20221105,"43.362286,-3.012567",Getxo,30 €,Bizkaia
Nekatutak,Teatro,20221105,20221105,"43.221425,-2.813527",Galdakao,6 / 8 €,Bizkaia
Karpaty,Teatro,20221105,20221105,"43.221425,-2.813527",Galdakao,4 / 6 €,Bizkaia
Finalaurrekoa (Lehenengo Itzuliko Hirugarren Saioa): Bertsolari Txapelketa Nagusia 2022,Bertsolarismo,20221105,20221105,"43.338272,-1.789207",Irun,10 / 14 / 17 €,Gipuzkoa
Bideart 2022:Benditas,Teatro,20221105,20221105,"42.96788,-2.718273",Zigoitia,6 €,Araba
Iseo & Dodosound,Concierto,20221105,20221105,"43.256963,-2.923441",Bilbao,23 €,Bizkaia
Act Festival 2022 - Festival Internacional De Escena Emergente,Festival,20221102,20221105,"43.256963,-2.923441",Bilbao,0,Bizkaia
Sofa + Lepora,Concierto,20221105,20221105,"43.362531,-1.791498",Hondarribia,7 / 10 €,Gipuzkoa
Maiatz-En Bertsu Bazkaria,Otro,20221105,20221105,"43.3630665503,-1.69919013977",Urrugne,20 €,Iparralde
